Species,MAP,Individual,FA_index
Scorpiurus muricatus,780,4,0.01655286
Scorpiurus muricatus,780,5,0.02511526
Scorpiurus muricatus,780,6,0.011373337
Scorpiurus muricatus,780,7,0.030974387
Scorpiurus muricatus,780,8,0.016376978
Scorpiurus muricatus,780,9,0.032749362
Scorpiurus muricatus,780,10,0.032164474
Scorpiurus muricatus,540,1,0.054558771
Scorpiurus muricatus,540,2,0.026603201
Scorpiurus muricatus,540,3,0.083681747
Scorpiurus muricatus,540,4,0.02385321
Scorpiurus muricatus,540,5,0.018508337
Scorpiurus muricatus,540,6,0.02004995
Scorpiurus muricatus,540,7,0.001506225
Scorpiurus muricatus,540,8,0.013485
Scorpiurus muricatus,540,9,0.067046364
Scorpiurus muricatus,540,10,0.013244087
Scorpiurus muricatus,300,1,0.070515067
Scorpiurus muricatus,300,2,0.009560327
Scorpiurus muricatus,300,3,0.008991925
Scorpiurus muricatus,300,4,0.007449488
Scorpiurus muricatus,300,5,0.035812024
Scorpiurus muricatus,300,6,0.033357896
Scorpiurus muricatus,300,7,0.007896481
Scorpiurus muricatus,300,8,0.015866403
Scorpiurus muricatus,300,9,0.003993541
Scorpiurus muricatus,300,10,0.04252852
Theligonum cynocrambe,780,1,0.041463308
Theligonum cynocrambe,780,2,0.012373899
Theligonum cynocrambe,780,3,0.023323429
Theligonum cynocrambe,780,4,0.011581873
Theligonum cynocrambe,780,5,0.017728767
Theligonum cynocrambe,780,6,0.004620198
Theligonum cynocrambe,780,7,0.062446288
Theligonum cynocrambe,780,8,0.007299239
Theligonum cynocrambe,780,9,0.035042749
Theligonum cynocrambe,780,10,0.062620351
Theligonum cynocrambe,540,1,0.011065426
Theligonum cynocrambe,540,2,0.011452648
Theligonum cynocrambe,540,3,0.051630032
Theligonum cynocrambe,540,4,0.045652829
Theligonum cynocrambe,540,5,0.039211079
Theligonum cynocrambe,540,6,0.030344016
Theligonum cynocrambe,540,7,0.006446048
Theligonum cynocrambe,540,8,0.026300458
Theligonum cynocrambe,540,9,0.068406604
Theligonum cynocrambe,540,10,0.018820722
Theligonum cynocrambe,371,1,0.046576142
Theligonum cynocrambe,371,2,0.005201194
Theligonum cynocrambe,371,3,0.052388069
Theligonum cynocrambe,371,4,0.032384773
Theligonum cynocrambe,371,5,0.006294233
Theligonum cynocrambe,371,6,0.00529634
Theligonum cynocrambe,371,7,0.051152522
Theligonum cynocrambe,371,8,0.012650248
Theligonum cynocrambe,371,9,0.043195274
Theligonum cynocrambe,371,10,0.045457874
Trifolium stellatum,780,1,0.009984221
Trifolium stellatum,780,2,0.013051568
Trifolium stellatum,780,3,0.004825544
Trifolium stellatum,780,4,0.020614455
Trifolium stellatum,780,5,0.021629091
Trifolium stellatum,780,6,0.005395032
Trifolium stellatum,780,7,0.002577423
Trifolium stellatum,780,8,0.020017114
Trifolium stellatum,780,9,0.022565828
Trifolium stellatum,780,10,0.050166609
Trifolium stellatum,540,1,0.016237199
Trifolium stellatum,540,2,0.004500501
Trifolium stellatum,540,3,0.023481096
Trifolium stellatum,540,4,0.012589127
Trifolium stellatum,540,5,0.004278798
Trifolium stellatum,540,6,0.029670671
Trifolium stellatum,540,7,0.049485363
Trifolium stellatum,540,8,0.015239967
Trifolium stellatum,540,9,0.008600172
Trifolium stellatum,540,10,0.009475892
Trifolium stellatum,371,1,0.00694886
Trifolium stellatum,371,2,0.049049397
Trifolium stellatum,371,3,0.005532489
Trifolium stellatum,371,4,0
Trifolium stellatum,371,5,0.093117024
Trifolium stellatum,371,6,0.031408464
Trifolium stellatum,371,7,0.106455331
Trifolium stellatum,371,8,0.028028724
Trifolium stellatum,371,9,0.017728767
Trifolium stellatum,371,10,0.033168363
Urospermum picroides,780,1,0.032288768
Urospermum picroides,780,2,0.001850033
Urospermum picroides,780,3,0.027323127
Urospermum picroides,780,4,0.051858119
Urospermum picroides,780,5,0.002053406
Urospermum picroides,780,6,0.050166609
Urospermum picroides,780,7,0.005396556
Urospermum picroides,780,8,0.005057344
Urospermum picroides,780,9,0.005471499
Urospermum picroides,780,10,0.017483397
Urospermum picroides,540,1,0.002210155
Urospermum picroides,540,2,0.042999096
Urospermum picroides,540,3,0.026455598
Urospermum picroides,540,4,0.00041639
Urospermum picroides,540,5,0.007981134
Urospermum picroides,540,6,0.025528199
Urospermum picroides,540,7,0.007619397
Urospermum picroides,540,8,0.027366184
Urospermum picroides,540,9,0.025470819
Urospermum picroides,540,10,0.020022241
Urospermum picroides,371,1,0.002914739
Urospermum picroides,371,2,0.014182305
Urospermum picroides,371,3,0.017330758
Urospermum picroides,371,4,0.051455907
Urospermum picroides,371,5,0.050166609
Urospermum picroides,371,6,0
Urospermum picroides,371,7,0.013475612
Urospermum picroides,371,8,0.001657615
Urospermum picroides,371,9,0.051868268
Urospermum picroides,371,10,0.003711941
Urospermum picroides,300,1,0.02205501
Urospermum picroides,300,2,0.041751096
Urospermum picroides,300,3,0.042061345
Urospermum picroides,300,4,0.009475892
Urospermum picroides,300,5,0.004787128
Urospermum picroides,300,6,0.00300551
Urospermum picroides,300,7,0.024012343
Urospermum picroides,300,8,0.019950227
Urospermum picroides,300,9,0.002214381
Urospermum picroides,300,10,0.018582278
